i,Date,Value
302,1991-03-13,2910.89
303,1991-03-14,2925.74
304,1991-03-15,2918.81
305,1991-03-18,2899.75
306,1991-03-19,2840.84
307,1991-03-20,2840.84
308,1991-03-21,2841.58
309,1991-03-22,2829.21
310,1991-03-25,2837.87
311,1991-03-26,2848.02
312,1991-03-27,2886.14
313,1991-03-28,2893.32
314,1991-04-01,2868.32
315,1991-04-02,2878.22
316,1991-04-03,2915.84
317,1991-04-04,2899.75
318,1991-04-05,2876.98
319,1991-04-08,2877.72
320,1991-04-09,2863.36
321,1991-04-10,2848.51
322,1991-04-11,2877.72
323,1991-04-12,2884.16
324,1991-04-15,2896.29
325,1991-04-16,2912.13
326,1991-04-17,2963.12
327,1991-04-18,2976.24
328,1991-04-19,2943.56
329,1991-04-22,2911.63
330,1991-04-23,2905.94
331,1991-04-24,2913.37
332,1991-04-25,2905.2
333,1991-04-26,2888.61
334,1991-04-29,2869.55
335,1991-04-30,2859.41
336,1991-05-01,2882.43
337,1991-05-02,2917.33
338,1991-05-03,2906.93
339,1991-05-06,2911.45
340,1991-05-07,2906.53
341,1991-05-08,2898.7
342,1991-05-09,2926.88
343,1991-05-10,2906.08
344,1991-05-13,2896.24
345,1991-05-14,2870.08
346,1991-05-15,2834.53
347,1991-05-16,2863.82
348,1991-05-17,2860.02
349,1991-05-20,2872.76
350,1991-05-21,2875.0
351,1991-05-22,2881.93
352,1991-05-23,2881.04
353,1991-05-24,2893.78
354,1991-05-28,2903.85
355,1991-05-29,2940.74
356,1991-05-30,2950.58
357,1991-05-31,2972.94
358,1991-06-03,3000.67
359,1991-06-04,2992.62
360,1991-06-05,2989.49
361,1991-06-06,2975.63
362,1991-06-07,2954.61
363,1991-06-10,2958.41
364,1991-06-11,2963.1
365,1991-06-12,2928.89
366,1991-06-13,2942.53
367,1991-06-14,2967.58
368,1991-06-17,2977.86
369,1991-06-18,2970.48
370,1991-06-19,2933.59
371,1991-06-20,2927.33
372,1991-06-21,2937.84
373,1991-06-24,2904.29
374,1991-06-25,2887.97
375,1991-06-26,2879.25
376,1991-06-27,2909.21
377,1991-06-28,2879.25
378,1991-07-01,2911.67
379,1991-07-02,2939.62
380,1991-07-03,2915.03
381,1991-07-05,2917.71
382,1991-07-08,2897.36
383,1991-07-09,2934.03
384,1991-07-10,2927.77
385,1991-07-11,2933.36
386,1991-07-12,2942.98
387,1991-07-15,2965.79
388,1991-07-16,2962.88
389,1991-07-17,2961.54
390,1991-07-18,2970.93
391,1991-07-19,2989.49
392,1991-07-22,2990.83
393,1991-07-23,2972.94
394,1991-07-24,2950.8
395,1991-07-25,2947.23
396,1991-07-26,2953.26
397,1991-07-29,2957.07
398,1991-07-30,2983.68
399,1991-07-31,2999.11
400,1991-08-01,2997.76
401,1991-08-02,2994.41
402,1991-08-05,2978.76
403,1991-08-06,2970.48
404,1991-08-07,3008.5
405,1991-08-08,2995.3
406,1991-08-09,2986.81
407,1991-08-12,2974.06
408,1991-08-13,2989.27
409,1991-08-14,2988.6
410,1991-08-15,2985.24
411,1991-08-16,2945.89
412,1991-08-19,2836.31
413,1991-08-20,2886.85
414,1991-08-21,2941.64
415,1991-08-22,2989.94
416,1991-08-23,2999.11
417,1991-08-26,3020.8
418,1991-08-27,3007.83
419,1991-08-28,3018.11
420,1991-08-29,3030.86
421,1991-08-30,3024.82
422,1991-09-03,3013.64
423,1991-09-04,2990.83
424,1991-09-05,2989.71
425,1991-09-06,2987.48
426,1991-09-09,2987.7
427,1991-09-10,2967.8
428,1991-09-11,2964.67
429,1991-09-12,2977.64
430,1991-09-13,2963.1
431,1991-09-16,2973.61
432,1991-09-17,2992.62
433,1991-09-18,2993.52
434,1991-09-19,3002.91
435,1991-09-20,3002.46
436,1991-09-23,2997.76
437,1991-09-24,2995.97
438,1991-09-25,3004.92
439,1991-09-26,2996.87
440,1991-09-27,2989.49
441,1991-09-30,2982.78
442,1991-10-01,3002.46
443,1991-10-02,2992.4
444,1991-10-03,2972.5
445,1991-10-04,2956.17
446,1991-10-07,2926.21
447,1991-10-08,2927.77
448,1991-10-09,2925.54
449,1991-10-10,2930.23
450,1991-10-11,2957.51
451,1991-10-14,2975.85
452,1991-10-15,3000.22
453,1991-10-16,3016.1
454,1991-10-17,3027.06
455,1991-10-18,3045.62
456,1991-10-21,3042.49
457,1991-10-22,3020.57
458,1991-10-23,3015.21
459,1991-10-24,2991.73
460,1991-10-25,2983.01
461,1991-10-28,3001.57
462,1991-10-29,3020.13
463,1991-10-30,3038.24
464,1991-10-31,3045.62
465,1991-11-01,3031.75
466,1991-11-04,3019.01
467,1991-11-05,3015.88
468,1991-11-06,3010.51
469,1991-11-07,3020.35
470,1991-11-08,3034.66
471,1991-11-11,3025.27
472,1991-11-12,3028.62
473,1991-11-13,3023.7
474,1991-11-14,3037.34
475,1991-11-15,2936.05
476,1991-11-18,2923.3
477,1991-11-19,2883.72
478,1991-11-20,2912.12
479,1991-11-21,2902.28
480,1991-11-22,2880.81
481,1991-11-25,2870.3
482,1991-11-26,2861.14
483,1991-11-27,2883.72
484,1991-11-29,2877.46
485,1991-12-02,2855.32
486,1991-12-03,2904.74
487,1991-12-04,2892.22
488,1991-12-05,2874.77
489,1991-12-06,2854.65
490,1991-12-09,2856.22
491,1991-12-10,2841.23
492,1991-12-11,2832.29
493,1991-12-12,2861.14
494,1991-12-13,2893.34
495,1991-12-16,2900.49
496,1991-12-17,2886.4
497,1991-12-18,2870.3
498,1991-12-19,2881.48
499,1991-12-20,2907.65
500,1991-12-23,2919.05
501,1991-12-24,3015.65
502,1991-12-26,3036.23
503,1991-12-27,3063.73
504,1991-12-30,3090.79
505,1991-12-31,3121.2
506,1992-01-02,3119.86
507,1992-01-03,3156.3
508,1992-01-06,3166.37
509,1992-01-07,3165.25
510,1992-01-08,3164.58
511,1992-01-09,3173.75
512,1992-01-10,3165.92
513,1992-01-13,3161.67
514,1992-01-14,3167.93
515,1992-01-15,3207.73
516,1992-01-16,3200.8
517,1992-01-17,3224.28
518,1992-01-20,3230.99
519,1992-01-21,3194.09
520,1992-01-22,3190.96
521,1992-01-23,3205.95
522,1992-01-24,3203.71
523,1992-01-27,3216.23
524,1992-01-28,3230.99
525,1992-01-29,3204.16
526,1992-01-30,3200.58
527,1992-01-31,3207.96
528,1992-02-03,3193.42
529,1992-02-04,3208.63
530,1992-02-05,3233.68
531,1992-02-06,3224.95
532,1992-02-07,3199.91
533,1992-02-10,3208.85
534,1992-02-11,3222.49
535,1992-02-12,3233.68
536,1992-02-13,3226.07
537,1992-02-14,3208.63
538,1992-02-18,3195.66
539,1992-02-19,3199.02
540,1992-02-20,3224.28
541,1992-02-21,3242.17
542,1992-02-24,3253.58
543,1992-02-25,3226.74
544,1992-02-26,3246.2
545,1992-02-27,3251.79
546,1992-02-28,3247.09
547,1992-03-02,3242.39
548,1992-03-03,3258.5
549,1992-03-04,3256.04
550,1992-03-05,3226.74
551,1992-03-06,3204.61
552,1992-03-09,3188.95
553,1992-03-10,3207.29
554,1992-03-11,3189.85
555,1992-03-12,3176.21
556,1992-03-13,3203.71
557,1992-03-16,3201.25
558,1992-03-17,3222.27
559,1992-03-18,3230.1
560,1992-03-19,3240.38
561,1992-03-20,3240.83
562,1992-03-23,3249.33
563,1992-03-24,3242.84
564,1992-03-25,3238.15
565,1992-03-26,3245.08
566,1992-03-27,3218.92
567,1992-03-30,3215.79
568,1992-03-31,3216.46
569,1992-04-01,3202.37
570,1992-04-02,3209.08
571,1992-04-03,3201.92
572,1992-04-06,3238.37
573,1992-04-07,3207.51
574,1992-04-08,3141.77
575,1992-04-09,3171.06
576,1992-04-10,3227.64
577,1992-04-13,3230.77
578,1992-04-14,3259.39
579,1992-04-15,3296.51
580,1992-04-16,3321.33
581,1992-04-20,3300.98
582,1992-04-21,3305.68
583,1992-04-22,3309.48
584,1992-04-23,3298.52
585,1992-04-24,3305.23
586,1992-04-27,3284.66
587,1992-04-28,3273.03
588,1992-04-29,3295.39
589,1992-04-30,3314.4
590,1992-05-01,3316.64
591,1992-05-04,3340.79
592,1992-05-05,3346.15
593,1992-05-06,3346.6
594,1992-05-07,3343.25
595,1992-05-08,3344.59
596,1992-05-11,3363.82
597,1992-05-12,3361.51
598,1992-05-13,3362.93
599,1992-05-14,3347.59
600,1992-05-15,3330.43
601,1992-05-18,3349.93
602,1992-05-19,3350.41
603,1992-05-20,3376.04
604,1992-05-21,3354.8
605,1992-05-22,3364.08
606,1992-05-26,3338.84
607,1992-05-27,3337.29
608,1992-05-28,3354.91
609,1992-05-29,3384.2
610,1992-06-01,3365.02
611,1992-06-02,3380.84
612,1992-06-03,3378.76
613,1992-06-04,3376.43
614,1992-06-05,3356.98
615,1992-06-08,3370.21
616,1992-06-09,3350.25
617,1992-06-10,3328.99
618,1992-06-11,3301.51
619,1992-06-12,3339.62
620,1992-06-15,3327.11
621,1992-06-16,3321.76
622,1992-06-17,3271.21
623,1992-06-18,3245.53
624,1992-06-19,3264.79
625,1992-06-22,3242.32
626,1992-06-23,3263.45
627,1992-06-24,3262.11
628,1992-06-25,3261.31
629,1992-06-26,3254.89
630,1992-06-29,3278.16
631,1992-06-30,3295.01
632,1992-07-01,3305.45
633,1992-07-02,3303.3
634,1992-07-06,3295.96
635,1992-07-07,3285.69
636,1992-07-08,3258.7
637,1992-07-09,3292.45
638,1992-07-10,3304.88
639,1992-07-13,3315.41
640,1992-07-14,3315.95
641,1992-07-15,3319.73
642,1992-07-16,3318.65
643,1992-07-17,3308.14
644,1992-07-20,3271.11
645,1992-07-21,3292.45
646,1992-07-22,3262.19
647,1992-07-23,3255.43
648,1992-07-24,3261.94
649,1992-07-27,3265.99
650,1992-07-28,3277.59
651,1992-07-29,3345.13
652,1992-07-30,3351.07
653,1992-07-31,3371.89
654,1992-08-03,3365.14
655,1992-08-04,3367.03
656,1992-08-05,3347.58
657,1992-08-06,3327.05
658,1992-08-07,3318.4
659,1992-08-10,3305.14
660,1992-08-11,3304.34
661,1992-08-12,3304.88
662,1992-08-13,3294.07
663,1992-08-14,3300.82
664,1992-08-17,3310.03
665,1992-08-18,3309.22
666,1992-08-19,3302.44
667,1992-08-20,3285.69
668,1992-08-21,3243.55
669,1992-08-24,3207.08
670,1992-08-25,3200.86
671,1992-08-26,3217.07
672,1992-08-27,3237.06
673,1992-08-28,3237.88
674,1992-08-31,3244.9
675,1992-09-01,3239.77
